# 1   2    3     4      5      6      7          8        9       10       11           12    13  
# Mu, T, ln(Z), <H>, <H^2>_c, <N>, <N^2>_c,   <NH>_c, <M_z^2>_c, <d>, <n.n. Spins>,   Entropy, Cv
  -0.10000E+02   0.10000E+01   0.47119E-03  -0.13107E-02   0.42168E-02   0.47073E-03   0.46979E-03  -0.13075E-02   0.11766E-03   0.41990E-10  -0.59908E-08   0.38678E-02   0.57757E-03
  -0.10000E+02   0.10833E+01   0.82319E-03  -0.22015E-02   0.70546E-02   0.82190E-03   0.81932E-03  -0.21929E-02   0.20541E-03   0.13289E-09  -0.19044E-07   0.63780E-02   0.10100E-02
  -0.10000E+02   0.11735E+01   0.13880E-02  -0.35534E-02   0.11334E-01   0.13847E-02   0.13780E-02  -0.35317E-02   0.34602E-03   0.38141E-09  -0.52154E-07   0.10160E-01   0.16580E-02
  -0.10000E+02   0.12712E+01   0.22642E-02  -0.55251E-02   0.17545E-01   0.22561E-02   0.22401E-02  -0.54738E-02   0.56370E-03   0.10060E-08  -0.12654E-06   0.15665E-01   0.25803E-02
  -0.10000E+02   0.13771E+01   0.35806E-02  -0.82929E-02   0.26241E-01   0.35622E-02   0.35260E-02  -0.81795E-02   0.88987E-03   0.24657E-08  -0.27804E-06   0.23426E-01   0.38314E-02
  -0.10000E+02   0.14918E+01   0.54992E-02  -0.12037E-01   0.38006E-01   0.54599E-02   0.53823E-02  -0.11801E-01   0.13637E-02   0.56609E-08  -0.56201E-06   0.34029E-01   0.54512E-02
  -0.10000E+02   0.16161E+01   0.82163E-02  -0.16923E-01   0.53419E-01   0.81364E-02   0.79793E-02  -0.16459E-01   0.20318E-02   0.12249E-07  -0.10569E-05   0.48091E-01   0.74547E-02
  -0.10000E+02   0.17507E+01   0.11960E-01  -0.23076E-01   0.72998E-01   0.11805E-01   0.11503E-01  -0.22212E-01   0.29474E-02   0.25094E-07  -0.18643E-05   0.66211E-01   0.98223E-02
  -0.10000E+02   0.18965E+01   0.16985E-01  -0.30559E-01   0.97154E-01   0.16698E-01   0.16142E-01  -0.29032E-01   0.41683E-02   0.48859E-07  -0.31052E-05   0.88920E-01   0.12495E-01
  -0.10000E+02   0.20544E+01   0.23562E-01  -0.39348E-01   0.12615E+00   0.23054E-01   0.22076E-01  -0.36775E-01   0.57540E-02   0.90691E-07  -0.49114E-05   0.11662E+00   0.15373E-01
  -0.10000E+02   0.22255E+01   0.31965E-01  -0.49314E-01   0.16006E+00   0.31100E-01   0.29452E-01  -0.45176E-01   0.77616E-02   0.16093E-06  -0.74140E-05   0.14955E+00   0.18326E-01
  -0.10000E+02   0.24109E+01   0.42459E-01  -0.60221E-01   0.19879E+00   0.41040E-01   0.38365E-01  -0.53849E-01   0.10242E-01   0.27366E-06  -0.10733E-04   0.18771E+00   0.21197E-01
  -0.10000E+02   0.26117E+01   0.55277E-01  -0.71730E-01   0.24205E+00   0.53030E-01   0.48843E-01  -0.62320E-01   0.13233E-01   0.44700E-06  -0.14966E-04   0.23086E+00   0.23828E-01
  -0.10000E+02   0.28292E+01   0.70606E-01  -0.83421E-01   0.28938E+00   0.67165E-01   0.60831E-01  -0.70063E-01   0.16760E-01   0.70285E-06  -0.20186E-04   0.27852E+00   0.26071E-01
  -0.10000E+02   0.30649E+01   0.88573E-01  -0.94828E-01   0.34020E+00   0.83462E-01   0.74185E-01  -0.76567E-01   0.20826E-01   0.10660E-05  -0.26432E-04   0.32995E+00   0.27804E-01
