# 1   2   3    4              5                6         7            8           9    
# Mu, T, <N>, <d>, <d_0s_rs_r+1> at r=n.n., r=n.n.n, r=3rd n.n., r=4th n.n., r=5th n.n.
  -0.10000E+02   0.38962E+01   0.14428E+00   0.30553E-05   0.93079E-10   0.15860E-10   0.14035E-10   0.39273E-11   0.12640E-11
  -0.10000E+02   0.42207E+01   0.16779E+00   0.40901E-05   0.13859E-09   0.24537E-10   0.18714E-10   0.52675E-11   0.78670E-12
  -0.10000E+02   0.45722E+01   0.19239E+00   0.53317E-05   0.19809E-09   0.36368E-10   0.23207E-10   0.65194E-11   0.67876E-12
  -0.10000E+02   0.49530E+01   0.21774E+00   0.67804E-05   0.27312E-09   0.51799E-10   0.26999E-10   0.75148E-11   0.63716E-12
  -0.10000E+02   0.53656E+01   0.24346E+00   0.84269E-05   0.36462E-09   0.71068E-10   0.29676E-10   0.81296E-11   0.61249E-12
  -0.10000E+02   0.58124E+01   0.26920E+00   0.10254E-04   0.47270E-09   0.94127E-10   0.31003E-10   0.83067E-11   0.58923E-12
  -0.10000E+02   0.62965E+01   0.29465E+00   0.12236E-04   0.59640E-09   0.12060E-09   0.30948E-10   0.80593E-11   0.56122E-12
  -0.10000E+02   0.68210E+01   0.31953E+00   0.14345E-04   0.73357E-09   0.14979E-09   0.29655E-10   0.74562E-11   0.52649E-12
  -0.10000E+02   0.73891E+01   0.34361E+00   0.16550E-04   0.88025E-09   0.18076E-09   0.27393E-10   0.65990E-11   0.48611E-12
  -0.95333E+01   0.14661E+00  -0.21303E-23   0.43353E-56  -0.55654-104   0.17193-107   0.13288-107   0.26657-109  -0.26362-112
  -0.95333E+01   0.15882E+00  -0.19446E-21   0.12562E-51  -0.25808E-96   0.11302E-99   0.88057-100   0.18692-101  -0.34876-104
  -0.95333E+01   0.17204E+00  -0.13419E-19  -0.19849E-47  -0.29951E-89   0.18174E-92   0.14301E-92   0.32489E-94  -0.10005E-96
  -0.95333E+01   0.18637E+00  -0.72379E-18  -0.14160E-44  -0.96442E-83   0.79495E-86   0.63315E-86   0.15588E-87  -0.72844E-90
  -0.95333E+01   0.20000E+00  -0.20534E-16  -0.65024E-42  -0.19744E-77   0.21027E-80   0.16957E-80   0.45322E-82  -0.29003E-84
  -0.95333E+01   0.21871E+00  -0.12102E-14  -0.10817E-38  -0.31096E-71   0.45132E-74   0.37071E-74   0.11172E-75  -0.10013E-77
  -0.95333E+01   0.23693E+00  -0.45783E-13  -0.54161E-36  -0.36924E-66   0.69938E-69   0.58551E-69   0.19953E-70  -0.22908E-72
  -0.95333E+01   0.25666E+00  -0.38341E-11  -0.18186E-33  -0.17121E-61   0.42073E-64   0.36004E-64   0.14076E-65  -0.19742E-67
  -0.95333E+01   0.27804E+00   0.18489E-10  -0.41611E-31  -0.33229E-57   0.10581E-59   0.92896E-60   0.42238E-61  -0.69267E-63
  -0.95333E+01   0.30000E+00   0.83499E-10  -0.52011E-29  -0.18663E-53   0.76368E-56   0.68989E-56   0.36609E-57  -0.67229E-59
  -0.95333E+01   0.32628E+00   0.55377E-09  -0.75653E-27  -0.11725E-49   0.64148E-52   0.60204E-52   0.38258E-53  -0.77079E-55
  -0.95333E+01   0.35345E+00   0.31877E-08  -0.63250E-25  -0.23638E-46   0.17497E-48   0.17173E-48   0.13032E-49  -0.28033E-51
  -0.95333E+01   0.38289E+00   0.16130E-07  -0.39805E-23  -0.24378E-43   0.25560E-45   0.26519E-45   0.24058E-46  -0.54498E-48
  -0.95333E+01   0.40000E+00   0.36611E-07  -0.34258E-22  -0.81782E-42   0.10716E-43   0.11522E-43   0.11511E-44  -0.26737E-46
  -0.95333E+01   0.44933E+00   0.25615E-06  -0.74734E-20  -0.33325E-38   0.10229E-39   0.12367E-39   0.15790E-40  -0.39110E-42
  -0.95333E+01   0.50000E+00   0.11678E-05  -0.72194E-18   0.17228E-36   0.18787E-36   0.26123E-36   0.40854E-37  -0.10784E-38
  -0.95333E+01   0.52729E+00   0.22960E-05  -0.62933E-17   0.93359E-34   0.58939E-35   0.88934E-35   0.15227E-35  -0.41622E-37
  -0.95333E+01   0.57121E+00   0.58648E-05  -0.14954E-15   0.27664E-31   0.75345E-33   0.13054E-32   0.25247E-33  -0.73072E-35
  -0.95333E+01   0.60000E+00   0.10021E-04  -0.10313E-14   0.60145E-30   0.12311E-31   0.23420E-31   0.48395E-32  -0.14544E-33
  -0.95333E+01   0.67032E+00   0.30485E-04  -0.14247E-12   0.30989E-27   0.41202E-29   0.98872E-29   0.23154E-29  -0.76068E-31
  -0.95333E+01   0.70000E+00   0.45643E-04   0.12412E-11   0.28844E-26   0.33759E-28   0.89308E-28   0.21778E-28  -0.74114E-30
  -0.95333E+01   0.80000E+00   0.14402E-03   0.31590E-11   0.15202E-23   0.12881E-25   0.46680E-25   0.12556E-25  -0.47384E-27
  -0.95333E+01   0.85214E+00   0.23713E-03   0.90397E-11   0.22232E-22   0.16558E-24   0.69717E-24   0.19402E-24  -0.76443E-26
  -0.95333E+01   0.90000E+00   0.35748E-03   0.21946E-10   0.19915E-21   0.13399E-23   0.63980E-23   0.18238E-23  -0.74250E-25
  -0.95333E+01   0.10000E+01   0.74977E-03   0.10662E-09   0.10049E-19   0.57354E-22   0.34013E-21   0.10024E-21  -0.42869E-23
  -0.95333E+01   0.10833E+01   0.12623E-02   0.31373E-09   0.15442E-18   0.80896E-21   0.54295E-20   0.16244E-20  -0.71137E-22
  -0.95333E+01   0.11735E+01   0.20561E-02   0.84151E-09   0.19574E-17   0.98819E-20   0.71174E-19   0.21444E-19  -0.94998E-21
