T,E,a,b,c
1.909,-4508.34650033,2340.5000561,1447.00666996,494.937228618
1.925,-4487.92282676,2331.10889087,1442.40021968,550.779647856
1.941,-4460.30656984,2319.73085839,1587.11995487,669.501887408
1.957,-4440.26916773,2313.12035385,1599.00492688,631.518693714
1.973,-4419.62365686,2305.18534399,1580.93903392,637.413244146
1.989,-4382.78553403,2285.49296131,1692.75941508,864.678143752
2.005,-4351.34622558,2273.25262315,1825.20751655,962.06533805
2.021,-4334.30271972,2266.95930835,1878.05965379,979.167483125
2.037,-4296.40260106,2248.0646014,1936.29444428,1187.18186846
2.053,-4263.86643726,2231.6112127,2145.12466188,1414.47192073
2.069,-4230.44782576,2214.59151958,2174.7631616,1488.65072069
2.085,-4183.75213365,2189.18835839,2384.70354349,2047.46380138
2.101,-4149.04727801,2169.7057021,2393.12359166,2172.88138558
2.117,-4109.21240965,2144.24849886,2550.05872043,2652.3181258
2.133,-4082.58972886,2135.94851917,2416.62434659,2460.44279651
2.149,-4036.00408,2106.03125337,2598.09353418,3052.21102759
2.165,-3962.06529497,2045.06004281,3069.88586405,5453.83045271
2.181,-3926.72551599,2010.17847538,3390.91748097,8163.13915492
2.197,-3892.01605683,2000.84116155,3090.55230851,5496.87058058
2.213,-3818.34392497,1907.73213666,3485.8833982,11283.343525
2.229,-3749.78775835,1850.7571659,3556.15422236,13899.5371321
2.245,-3670.87365767,1739.91402311,4026.32836236,23763.7224448
2.261,-3589.5752104,1579.13231545,5226.00171927,74702.9942621
2.277,-3527.58111772,1461.78429947,5446.76703762,91976.5814524
2.293,-3382.53237949,1061.06318144,5214.73963535,113681.971203
2.309,-3316.47421437,922.135096631,4808.80267522,133582.941299
2.325,-3323.35416171,1132.84164468,4380.3216224,79985.0312412
2.341,-3254.43965565,1100.28647102,3945.93791349,57214.4041559
2.357,-3132.69621538,509.152826742,3207.48893427,77066.3478141
2.373,-3091.68002767,637.045938557,3168.81073907,64194.1359208
2.389,-3026.54297917,494.960807555,2892.84681696,47181.3685641
2.405,-3000.89997447,526.311155052,2912.66842568,51843.2406026
2.421,-2948.27506302,488.501247264,2505.11820502,51107.9194533
2.437,-2927.67390376,446.411556134,2985.39949467,43794.4715026
2.453,-2861.56627536,414.174048501,2387.27152522,29560.4153853
2.469,-2845.42125917,385.763396431,2576.86024278,33321.8791874
2.485,-2799.06151315,329.244098224,2241.83303282,25282.1770001
2.501,-2756.29563045,283.467521506,2054.76979932,18041.710155
2.517,-2730.44915261,291.874352136,1997.13511391,17050.6020655
2.533,-2704.07687436,323.110682297,2076.27436741,24307.2791772
2.549,-2661.88359591,273.586062106,1877.08832266,16940.6499039
2.565,-2634.6355887,267.736390801,1860.27090531,14958.482233
2.581,-2606.59122787,278.051625405,1767.38046354,14732.1400758
2.597,-2580.73937582,242.249552688,1771.95116473,13087.816263
2.613,-2546.73587016,267.332658539,1810.8228822,13792.3562533
2.629,-2525.10887763,240.329668779,1719.37548207,12535.6100455
2.645,-2501.52501123,219.528935198,1625.11499029,9984.15385794
2.661,-2469.71583515,214.116202745,1560.20948542,9181.66558829
2.677,-2449.92704628,212.616483033,1469.07466294,8876.00574705
2.693,-2424.5639526,197.668626901,1588.64321582,8200.14696612
2.709,-2391.2407276,195.089736954,1461.42309915,8305.90911685
2.725,-2366.66453269,188.256021232,1461.77760493,7172.27753344
2.741,-2350.4079498,178.687687892,1423.98505389,6569.66610723
2.757,-2327.82866804,167.87081108,1344.39389685,5637.09731681
2.773,-2307.6104822,192.896270919,1307.79442504,6536.6726761
2.789,-2284.28469144,160.090641146,1258.64752835,5135.8160724
2.805,-2265.73508174,168.080867899,1325.7611564,5854.73135549
2.821,-2245.53665001,157.871946952,1230.11152121,5011.65756483
2.837,-2223.32204369,155.31823742,1212.9316139,4803.08645177
2.853,-2208.31916427,162.819634124,1211.66862471,5336.03194848
2.869,-2188.18457381,146.419168549,1181.27336222,4293.15425673
2.885,-2167.43910288,142.612676569,1186.4696971,4526.87126865
2.901,-2148.26473701,158.803859405,1113.43464221,4876.71397858
2.917,-2130.05139238,149.520611871,1110.56064145,4404.74934762
2.933,-2111.86731431,153.714376914,1073.75437028,4178.99061951
2.949,-2098.25067326,143.197372723,1077.44898571,3937.08281696
2.965,-2080.15093644,141.232947953,1089.58574665,3977.84551712
2.981,-2058.08610867,143.294763181,1067.98772874,3929.56492722
2.997,-2048.98000186,133.626664856,1003.21484444,3461.16182033
3.013,-2034.49184176,138.259164143,1007.5948243,3478.76919951
3.029,-2016.48660733,130.849730314,978.54169762,3157.19706661
3.045,-2004.03351526,133.956625539,975.258888488,3229.81795918
3.061,-1985.12350073,125.316518892,976.359699423,2773.40359927
3.077,-1963.44383658,123.649516438,923.68005451,2806.14331999
3.093,-1956.58217775,125.707050515,955.200794685,2895.24598715
3.109,-1938.49129955,125.033005566,911.889516043,2989.8308831
3.125,-1927.7055396,122.63241756,864.142270171,2885.81737296
3.141,-1911.04901292,114.567301788,846.074905097,2491.93733233
3.157,-1901.48088887,116.816984844,846.875662966,2285.2748112
3.173,-1879.56824144,116.120548472,827.009608593,2484.55704097
3.189,-1872.84866171,119.309075884,805.683029498,2614.2619208
3.205,-1861.76298843,114.331043435,815.44565089,2208.9667461
3.221,-1845.77420917,115.915288133,777.687544999,2237.35120577
3.237,-1833.26083307,112.754871824,777.997593309,2298.85125515
3.253,-1824.18144882,112.420281381,762.765846354,2156.00151286
3.269,-1811.00580077,109.123659192,772.783748777,2102.50663298
3.285,-1797.39910289,109.757899663,735.477658237,1970.44668126
3.301,-1782.7859476,108.080230395,720.388484089,2150.3082847
3.317,-1773.02995616,106.684602836,711.441594808,1927.61616023
3.333,-1761.07055545,109.28430603,692.36245507,2031.32565043
3.349,-1747.78334094,103.528854238,660.69443616,1784.37344335
3.365,-1740.04876825,107.413620518,688.267414003,2057.65925418
3.381,-1722.44813424,101.330870763,699.159576705,1782.32530382
3.397,-1719.82364571,101.798330637,658.894867221,1797.20367797
3.413,-1706.1268023,101.792369165,687.99311625,1784.69066186
3.429,-1695.05535558,101.476730593,644.027958808,1736.10394507
3.445,-1684.7885492,107.946222979,648.212477669,1924.71060826
3.461,-1675.36979998,102.371539304,628.864536788,1630.37349515
3.477,-1665.68956738,102.706502483,627.250828887,1767.26093239
3.493,-1653.27455032,99.9908478726,625.898285015,1615.29684446
3.509,-1644.74110933,100.048543485,647.943451036,1671.49877722
3.525,-1632.50050493,97.3446303779,590.517162359,1529.26318969
